BillNo,ItemsList,CustomerID,PresentDate,Country,TotalQuantity
537210,"CINAMMON SET OF 9 T-LIGHTS, WHITE HANGING HEART T-LIGHT HOLDER, PAINTED METAL PEARS ASSORTED, ASSORTED COLOUR BIRD ORNAMENT, OCEAN SCENT CANDLE IN JEWELLED BOX, VANILLA SCENT CANDLE JEWELLED BOX, WOODEN PICTURE FRAME WHITE FINISH, WOODEN FRAME ANTIQUE WHITE, HAND WARMER UNION JACK, CHRISTMAS LIGHTS 10 SANTAS, LUNCH BAG WOODLAND, LUNCH BAG CARS BLUE, BISCUITS SMALL BOWL LIGHT BLUE, TEA TIME OVEN GLOVE, SMALL MARSHMALLOWS PINK BOWL",15953,05-12-2010 15:15,UNITED KINGDOM,100
557974,"POLYESTER FILLER PAD 40X40CM, CHILDRENS CUTLERY RETROSPOT RED, CHILDRENS CUTLERY POLKADOT BLUE, CHILDRENS CUTLERY POLKADOT PINK, CHILDRENS CUTLERY POLKADOT GREEN, RED GINGHAM TEDDY BEAR, NATURAL SLATE HEART CHALKBOARD",14541,24-06-2011 10:31,UNITED KINGDOM,100
547890,"SET OF 20 KIDS COOKIE CUTTERS, RECYCLED PENCIL WITH RABBIT ERASER, ROUND SNACK BOXES SET OF 4 FRUITS, ASSORTED COLOUR MINI CASES, SET OF 3 HEART COOKIE CUTTERS, RED RETROSPOT TISSUE BOX",17227,28-03-2011 10:03,UNITED KINGDOM,100
539859,"LARGE WHITE HONEYCOMB PAPER BELL, PINK  HONEYCOMB PAPER FAN, WHITE BELL HONEYCOMB PAPER, LARGE WHITE/PINK ROSE ART FLOWER, WHITE BELL HONEYCOMB PAPER GARLAND",17905,22-12-2010 16:23,UNITED KINGDOM,100
563698,"ASSORTED COLOUR BIRD ORNAMENT, JUMBO BAG RED RETROSPOT, GARDENERS KNEELING PAD KEEP CALM, GARDENERS KNEELING PAD CUP OF TEA, PARTY METAL SIGN, SET OF 3 HANGING OWLS OLLIE BEAK, GREEN SWEETHEART BRACELET, SET OF 4 KNICK KNACK TINS DOILY, CHILDRENS CUTLERY POLKADOT PINK, CRYSTAL DIAMANTE STAR BROOCH, ROLL WRAP VINTAGE SPOT, CALENDAR PAPER CUT DESIGN, RIBBON REEL POLKADOTS, RIBBON REEL FLORA + FAUNA, DOORMAT RED RETROSPOT, DOORMAT HOME SWEET HOME BLUE, SET/6 BLACK BIRD T-LIGHT CANDLES, SILVER/BLACK ORBIT NECKLACE, TWO DOOR CURIO CABINET, LUNCH BAG RED RETROSPOT",14667,18-08-2011 13:46,UNITED KINGDOM,100
557272,"EDWARDIAN PARASOL NATURAL, EDWARDIAN PARASOL NATURAL",17368,19-06-2011 11:42,UNITED KINGDOM,100
552048,"BUNTING , SPOTTY, DOORMAT KEEP CALM AND COME IN",17809,06-05-2011 10:00,UNITED KINGDOM,100
572900,"RABBIT NIGHT LIGHT, MINI PLAYING CARDS FUN FAIR, MINI PLAYING CARDS GYMKHANA",13107,26-10-2011 14:52,UNITED KINGDOM,100
552442,"TOILET SIGN OCCUPIED OR VACANT, RIBBON REEL HEARTS DESIGN, ASSORTED COLOUR BIRD ORNAMENT, PARTY METAL SIGN, FLOWER GLASS GARLAND NECKL.36""BLACK, FLOWER GLASS GARLAND NECKL.36""BLUE, SPOTTY BUNTING, UNION JACK FLAG LUGGAGE TAG, PAPER CHAIN KIT RETROSPOT, PAPER CHAIN KIT EMPIRE, SET/20 RED RETROSPOT PAPER NAPKINS, SOMBRERO, DOORMAT UNION FLAG, VINTAGE UNION JACK BUNTING, ZINC METAL HEART DECORATION, BLACK SWEETHEART BRACELET, GREEN SWEETHEART BRACELET, DOORMAT KEEP CALM AND COME IN, RETROSPOT LARGE MILK JUG, RED RETROSPOT SMALL MILK JUG, CHILDRENS CUTLERY DOLLY GIRL, CHILDRENS CUTLERY POLKADOT PINK, CHILDRENS CUTLERY CIRCUS PARADE, CHILDRENS CUTLERY SPACEBOY, LUNCH BAG SUKI DESIGN",14667,09-05-2011 13:03,UNITED KINGDOM,100
568945,"LOVE HOT WATER BOTTLE, ENGLISH ROSE HOT WATER BOTTLE, JUMBO BAG PINK VINTAGE PAISLEY, JUMBO BAG 50'S CHRISTMAS, JUMBO STORAGE BAG SUKI, JUMBO BAG APPLES, JUMBO BAG VINTAGE LEAF, RETROSPOT HEART HOT WATER BOTTLE, HOT WATER BOTTLE TEA AND SYMPATHY, RED WOOLLY HOTTIE WHITE HEART., LARGE IVORY HEART WALL ORGANISER, SCOTTIE DOG HOT WATER BOTTLE, CANDLEHOLDER PINK HANGING HEART, RED HANGING HEART T-LIGHT HOLDER",14239,29-09-2011 14:52,UNITED KINGDOM,100
