RuleID,Antecedent,Consequent,support,confidence,lift,Antecedent_Length,Consequent_Length
R3619,"HERB MARKER BASIL, HERB MARKER MINT, HERB MARKER PARSLEY, HERB MARKER ROSEMARY","HERB MARKER CHIVES, HERB MARKER THYME",0.010589769,0.928571429,81.42244898,4,2
R3648,"HERB MARKER CHIVES, HERB MARKER THYME","HERB MARKER BASIL, HERB MARKER MINT, HERB MARKER PARSLEY, HERB MARKER ROSEMARY",0.010589769,0.928571429,81.42244898,2,4
R3627,"HERB MARKER CHIVES, HERB MARKER ROSEMARY, HERB MARKER THYME","HERB MARKER BASIL, HERB MARKER MINT, HERB MARKER PARSLEY",0.010589769,0.942028986,80.30797101,3,3
R3640,"HERB MARKER BASIL, HERB MARKER MINT, HERB MARKER PARSLEY","HERB MARKER CHIVES, HERB MARKER ROSEMARY, HERB MARKER THYME",0.010589769,0.902777778,80.30797101,3,3
R3624,"HERB MARKER BASIL, HERB MARKER CHIVES, HERB MARKER ROSEMARY","HERB MARKER MINT, HERB MARKER PARSLEY, HERB MARKER THYME",0.010589769,0.970149254,79.39701493,3,3
R3630,"HERB MARKER BASIL, HERB MARKER CHIVES, HERB MARKER THYME","HERB MARKER MINT, HERB MARKER PARSLEY, HERB MARKER ROSEMARY",0.010589769,0.970149254,79.39701493,3,3
R3637,"HERB MARKER MINT, HERB MARKER PARSLEY, HERB MARKER ROSEMARY","HERB MARKER BASIL, HERB MARKER CHIVES, HERB MARKER THYME",0.010589769,0.866666667,79.39701493,3,3
R3643,"HERB MARKER MINT, HERB MARKER PARSLEY, HERB MARKER THYME","HERB MARKER BASIL, HERB MARKER CHIVES, HERB MARKER ROSEMARY",0.010589769,0.866666667,79.39701493,3,3
R3622,"HERB MARKER MINT, HERB MARKER PARSLEY, HERB MARKER ROSEMARY, HERB MARKER THYME","HERB MARKER BASIL, HERB MARKER CHIVES",0.010589769,0.878378378,79.28656598,4,2
R3634,"HERB MARKER BASIL, HERB MARKER MINT, HERB MARKER ROSEMARY","HERB MARKER CHIVES, HERB MARKER PARSLEY, HERB MARKER THYME",0.010589769,0.878378378,79.28656598,3,3
R3633,"HERB MARKER CHIVES, HERB MARKER PARSLEY, HERB MARKER THYME","HERB MARKER BASIL, HERB MARKER MINT, HERB MARKER ROSEMARY",0.010589769,0.955882353,79.28656598,3,3
R3645,"HERB MARKER BASIL, HERB MARKER CHIVES","HERB MARKER MINT, HERB MARKER PARSLEY, HERB MARKER ROSEMARY, HERB MARKER THYME",0.010589769,0.955882353,79.28656598,2,4
R3411,"HERB MARKER CHIVES, HERB MARKER THYME","HERB MARKER BASIL, HERB MARKER MINT, HERB MARKER PARSLEY",0.010589769,0.928571429,79.16071429,2,3
R3404,"HERB MARKER BASIL, HERB MARKER MINT, HERB MARKER PARSLEY","HERB MARKER CHIVES, HERB MARKER THYME",0.010589769,0.902777778,79.16071429,3,2
R3531,"HERB MARKER CHIVES, HERB MARKER THYME","HERB MARKER MINT, HERB MARKER PARSLEY, HERB MARKER ROSEMARY",0.010915608,0.957142857,78.33257143,2,3
R3524,"HERB MARKER MINT, HERB MARKER PARSLEY, HERB MARKER ROSEMARY","HERB MARKER CHIVES, HERB MARKER THYME",0.010915608,0.893333333,78.33257143,3,2
R3379,"HERB MARKER BASIL, HERB MARKER CHIVES","HERB MARKER MINT, HERB MARKER PARSLEY, HERB MARKER ROSEMARY",0.010589769,0.955882353,78.22941176,2,3
R3408,"HERB MARKER BASIL, HERB MARKER CHIVES","HERB MARKER MINT, HERB MARKER PARSLEY, HERB MARKER THYME",0.010589769,0.955882353,78.22941176,2,3
R3376,"HERB MARKER MINT, HERB MARKER PARSLEY, HERB MARKER ROSEMARY","HERB MARKER BASIL, HERB MARKER CHIVES",0.010589769,0.866666667,78.22941176,3,2
R3407,"HERB MARKER MINT, HERB MARKER PARSLEY, HERB MARKER THYME","HERB MARKER BASIL, HERB MARKER CHIVES",0.010589769,0.866666667,78.22941176,3,2
